"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Alec Bohm","PHI","118","485","10","64","59","1","4.9%","18.8%",".118",".342",".293",".328",".411",".321",".339","104","-0.7","1.7","-3.3","1.6","21618"
"Trey Mancini","- - -","112","471","16","48","57","0","8.1%","22.7%",".162",".312",".262",".333",".424",".331",".334","118","-1.2","8.3","-8.1","1.6","15149"
"Dylan Moore","SEA","88","203","5","30","16","15","13.3%","31.0%",".167",".295",".204",".353",".370",".327",".314","120","2.9","7.3","1.0","1.5","18042"
"Manuel Margot","TBR","58","227","3","26","31","5","7.9%","17.6%",".125",".364",".303",".361",".428",".346",".317","133","1.5","9.9","-2.4","1.5","14712"
"Justin Turner","LAD","101","421","9","47","64","3","9.3%","16.9%",".143",".296",".262",".335",".405",".324",".324","110","-2.0","2.8","-2.6","1.5","5235"
"Tyler Stephenson","CIN","50","183","6","24","35","1","6.6%","25.7%",".163",".409",".319",".372",".482",".371",".318","132","0.6","7.5","0.7","1.5","17988"
"Evan Longoria","SFG","64","216","12","28","28","0","10.2%","27.3%",".232",".298",".253",".333",".484",".352",".342","128","-1.1","6.1","1.0","1.5","9368"
"Keibert Ruiz","WSN","102","398","6","29","32","6","7.0%","12.3%",".108",".269",".247",".310",".355",".296",".320","87","-0.2","-6.2","6.9","1.5","19610"
"Harrison Bader","STL","72","264","5","35","21","15","4.9%","17.8%",".114",".297",".256",".303",".370",".297",".286","93","4.6","2.4","2.9","1.5","18030"
"Chris Taylor","LAD","91","352","8","38","32","8","9.9%","36.4%",".167",".352",".228",".307",".394",".306",".276","97","2.1","1.0","1.3","1.5","13757"
"Leody Taveras","TEX","65","227","3","29","29","8","6.6%","24.7%",".120",".382",".293",".339",".413",".328",".279","116","0.9","4.9","2.2","1.5","18900"
"Mike Yastrzemski","SFG","113","426","12","54","44","5","11.7%","24.2%",".163",".253",".209",".308",".372",".302",".315","95","2.3","-0.3","0.0","1.5","14854"
"Jake McCarthy","ARI","67","217","4","36","23","12","7.8%","20.7%",".138",".361",".292",".353",".431",".344",".298","119","4.1","9.0","-2.2","1.5","21622"
"Nicky Lopez","KCR","119","411","0","46","16","12","6.1%","14.4%",".048",".283",".239",".294",".288",".263",".278","66","5.2","-10.6","11.9","1.5","19339"
"Josh Naylor","CLE","91","364","15","34","59","5","6.9%","15.4%",".190",".275",".266",".319",".456",".333",".327","118","-2.5","4.8","-2.2","1.5","18839"
"Ramon Laureano","OAK","84","343","12","44","29","10","7.3%","25.9%",".172",".274",".223",".300",".395",".307",".312","106","2.3","4.8","-1.5","1.5","17128"
"Josh Donaldson","NYY","104","428","12","45","50","2","10.0%","27.3%",".163",".288",".224",".311",".387",".308",".311","102","-4.5","-3.6","4.2","1.5","5038"
"Christian Vazquez","- - -","99","359","8","38","46","1","5.6%","15.9%",".132",".325",".288",".331",".420",".329",".310","111","-8.1","-3.7","6.2","1.4","9774"
"Jean Segura","PHI","65","260","8","32","22","12","6.5%","14.2%",".127",".311",".287",".346",".414",".334",".310","113","1.3","5.4","-0.7","1.4","5933"
"Max Muncy","LAD","104","429","16","51","51","2","16.6%","25.2%",".189",".211",".186",".322",".374",".311",".334","101","1.9","2.2","-3.3","1.4","13301"
"Gleyber Torres","NYY","114","456","18","56","50","6","6.1%","22.1%",".182",".279",".244",".295",".427",".313",".307","105","-2.5","0.3","-1.1","1.4","16997"
"Christopher Morel","CHC","84","333","12","48","34","9","8.1%","30.9%",".193",".335",".249",".313",".442",".328",".329","110","1.7","5.7","-3.5","1.4","21897"
"Cody Bellinger","LAD","113","448","17","58","54","11","6.9%","27.0%",".192",".245",".207",".263",".399",".287",".286","85","3.8","-4.2","2.3","1.4","15998"
"Alex Verdugo","BOS","120","499","7","53","59","1","6.0%","11.2%",".119",".308",".284",".329",".403",".319",".335","103","-1.8","0.1","-2.5","1.4","17027"
"Giancarlo Stanton","NYY","82","338","24","40","64","0","10.9%","27.8%",".263",".236",".226",".309",".488",".341",".374","125","-2.1","7.5","-5.0","1.4","4949"
"Brandon Crawford","SFG","89","346","7","36","40","1","8.4%","21.4%",".124",".263",".218",".301",".342",".285",".281","83","1.3","-5.7","6.8","1.4","5343"
"Lourdes Gurriel Jr.","TOR","112","458","5","50","50","3","6.3%","16.4%",".107",".347",".295",".346",".401",".329",".323","116","-4.5","3.7","-5.3","1.3","19238"
"Ketel Marte","ARI","109","450","10","57","44","4","10.2%","18.0%",".167",".289",".251",".333",".418",".328",".324","108","-0.6","3.8","-6.4","1.3","13613"
"David Peralta","- - -","107","390","12","33","47","1","8.2%","23.3%",".184",".300",".249",".313",".433",".320",".317","105","-0.4","1.8","-2.3","1.3","2136"
"Michael Brantley","HOU","64","277","5","28","26","1","11.2%","10.8%",".128",".311",".288",".370",".416",".345",".375","128","-0.7","8.0","-4.2","1.3","4106"
"Sam Haggerty","SEA","56","130","4","22","15","10","4.6%","26.2%",".176",".390",".303",".349",".479",".353",".277","138","2.0","7.5","0.7","1.3","18054"
"Keston Hiura","MIL","56","183","13","26","25","5","10.4%","41.5%",".261",".368",".242",".350",".503",".371",".349","139","1.1","9.5","-3.5","1.3","20003"
"Victor Caratini","MIL","74","242","8","22","24","0","10.7%","21.9%",".150",".238",".208",".318",".357",".304",".317","93","-2.9","-4.9","8.8","1.3","14968"
"Kolten Wong","MIL","102","384","9","52","33","13","8.6%","17.7%",".159",".276",".243",".327",".402",".320",".295","104","2.8","4.8","-5.9","1.3","12532"
"Oscar Gonzalez","CLE","54","219","5","19","23","1","3.7%","21.9%",".167",".357",".292",".320",".459",".335",".318","120","1.6","6.4","-1.3","1.3","20970"
"Christian Bethancourt","- - -","77","252","8","32","26","5","4.4%","23.8%",".151",".282",".235",".275",".387",".289",".335","93","-0.6","-2.5","6.4","1.2","10028"
"Joc Pederson","SFG","104","338","18","41","48","3","8.9%","21.0%",".237",".277",".258",".334",".495",".355",".373","130","-0.5","11.5","-11.3","1.2","11899"
"Daniel Vogelbach","- - -","104","378","16","39","49","0","15.1%","25.1%",".210",".282",".235",".352",".445",".350",".355","126","-2.0","9.5","-10.7","1.2","14130"
"Luis Guillorme","NYM","86","289","2","31","14","1","10.0%","13.5%",".074",".327",".283",".355",".357",".319",".301","110","-5.4","-2.1","3.6","1.2","16451"
"Nick Fortes","MIA","48","151","7","28","18","5","6.0%","19.2%",".197",".248",".234",".305",".431",".322",".329","109","0.6","2.2","4.1","1.2","21538"
"Luis Rengifo","LAA","92","359","9","30","36","5","3.6%","15.9%",".152",".297",".266",".299",".418",".312",".295","102","2.3","2.9","-2.8","1.2","19858"
"Patrick Wisdom","CHC","117","471","22","60","58","7","10.8%","33.5%",".221",".288",".217",".311",".438",".326",".303","109","-0.4","4.7","-9.5","1.2","13602"
"Luis Urias","MIL","93","386","14","44","41","1","11.4%","22.0%",".167",".246",".218",".319",".385",".312",".311","99","0.0","-0.4","-1.6","1.2","16622"
"Wander Franco","TBR","58","247","5","34","23","5","6.9%","10.5%",".137",".271",".260",".308",".396",".305",".334","104","2.4","3.6","-0.1","1.2","23667"
"Javier Baez","DET","111","457","11","46","47","8","4.6%","24.7%",".143",".277",".224",".267",".367",".277",".280","80","1.9","-8.4","5.3","1.2","12979"
"Jack Suwinski","PIT","72","250","14","33","25","2","9.6%","30.4%",".230",".227",".198",".288",".428",".312",".294","99","-0.2","-0.6","3.0","1.1","22244"
"Ryan McKenna","BAL","84","145","2","21","11","2","6.2%","33.8%",".115",".383",".252",".308",".366",".295",".276","93","2.7","1.5","4.9","1.1","19928"
"Adam Frazier","SEA","125","498","3","53","32","8","8.0%","11.6%",".070",".270",".243",".308",".312",".278",".301","85","-0.1","-8.6","4.0","1.1","15223"
"Kyle Farmer","CIN","108","436","8","48","57","4","6.0%","16.5%",".118",".305",".266",".331",".384",".317",".321","96","-3.1","-5.2","1.3","1.1","14813"
