"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"LaMonte Wade Jr.","SFG","50","153","8","15","22","0","11.1%","20.9%",".231",".154",".169",".278",".400",".299",".335","92","0.8","-0.6","-5.5","-0.1","18126"
"Nick Senzel","CIN","91","350","4","39","22","6","6.6%","19.1%",".074",".300",".245",".307",".319",".282",".300","72","0.1","-11.3","-1.6","-0.1","19293"
"Dominic Smith","NYM","58","152","0","11","17","0","7.9%","24.3%",".090",".263",".194",".276",".284",".254",".293","66","1.7","-4.4","-1.8","-0.1","15653"
"Nick Allen","OAK","67","212","3","19","11","1","6.6%","18.9%",".087",".242",".204",".261",".291",".248",".245","64","-0.5","-9.0","1.3","-0.1","22277"
"Kevin Smith","OAK","47","151","2","9","13","4","4.6%","27.8%",".122",".237",".180",".216",".302",".226",".239","49","-0.6","-9.3","3.5","-0.1","20242"
"Austin Wynns","SFG","44","115","1","9","13","0","7.8%","20.9%",".068",".278",".223",".289",".291",".263",".262","68","-1.2","-5.5","0.5","-0.1","15271"
"Yairo Munoz","PHI","25","57","3","6","7","1","5.3%","17.5%",".204",".195",".204",".246",".407",".283",".271","78","0.4","-1.1","-2.0","-0.1","16313"
"Travis Jankowski","- - -","44","64","0","11","2","3","12.5%","15.6%",".000",".200",".164",".281",".164",".222",".259","44","0.6","-3.6","0.1","-0.1","13768"
"Andy Ibanez","TEX","40","128","1","13","9","3","7.0%","16.4%",".059",".258",".218",".273",".277",".249",".272","60","1.3","-4.5","-0.9","-0.1","18819"
"Jesus Aguilar","MIA","113","456","15","37","49","1","5.9%","23.2%",".152",".278",".236",".286",".388",".294",".302","90","-2.6","-8.1","-8.8","-0.1","11342"
"Sergio Alcantara","- - -","70","159","3","19","17","0","5.0%","22.6%",".110",".248",".207",".248",".317",".248",".245","56","0.2","-8.1","1.3","-0.1","16417"
"Magneuris Sierra","LAA","29","77","0","5","4","4","3.9%","20.8%",".096",".246",".192",".224",".288",".224",".224","39","-0.1","-5.3","1.5","-0.1","17023"
"Alfonso Rivas","CHC","72","203","3","19","24","3","9.9%","31.5%",".084",".342",".235",".315",".318",".285",".273","81","1.1","-3.5","-4.9","-0.2","21560"
"Willie Calhoun","TEX","18","53","1","7","2","0","15.1%","11.3%",".136",".135",".136",".283",".273",".262",".337","69","-0.2","-2.1","-1.1","-0.2","17838"
"Sheldon Neuse","OAK","78","271","4","22","24","6","6.6%","26.6%",".080",".291",".219",".277",".299",".259",".256","72","1.7","-6.7","-3.3","-0.2","19635"
"Michael Chavis","PIT","106","342","13","31","40","1","3.8%","29.2%",".173",".308",".244",".275",".417",".297",".266","89","0.2","-4.3","-8.9","-0.2","17321"
"P.J. Higgins","CHC","53","152","6","17","20","0","7.9%","27.0%",".190",".278",".226",".293",".416",".310",".249","98","-0.6","-0.9","-5.8","-0.2","18433"
"Bobby Dalbec","BOS","109","334","11","37","36","3","8.7%","32.6%",".154",".280",".208",".281",".362",".284",".297","79","1.8","-6.1","-6.0","-0.2","19966"
"Diego Castillo","PIT","84","257","10","24","25","1","5.1%","27.2%",".167",".235",".201",".245",".368",".265",".287","67","-0.3","-10.3","-0.3","-0.2","19906"
"Mickey Moniak","- - -","23","65","2","8","5","0","4.6%","36.9%",".117",".235",".167",".219",".283",".225",".178","41","0.8","-3.9","-0.2","-0.2","19956"
"Bradley Zimmer","- - -","86","103","2","15","3","2","4.9%","35.9%",".120",".189",".130",".216",".250",".215",".239","35","0.8","-6.7","1.6","-0.2","16221"
"Vimael Machin","OAK","45","149","1","13","6","0","8.1%","16.8%",".060",".255",".216",".282",".276",".253",".282","68","-0.6","-6.0","-0.6","-0.2","17684"
"Yadiel Hernandez","WSN","94","327","9","30","41","2","5.8%","22.6%",".141",".326",".269",".312",".410",".315",".310","100","-5.2","-5.1","-8.0","-0.2","19334"
"Zach McKinstry","- - -","29","77","2","9","5","3","7.8%","27.3%",".113",".208",".169",".234",".282",".232",".258","46","1.2","-3.7","-1.0","-0.2","19392"
"Kody Clemens","DET","41","102","3","9","11","1","6.9%","25.5%",".140",".167",".151",".206",".290",".218",".241","38","0.6","-6.4","1.1","-0.2","20572"
"Mike Ford","- - -","25","63","0","1","5","0","17.5%","31.7%",".020",".258",".157",".317",".176",".250",".266","63","0.0","-2.7","-1.4","-0.2","15585"
"Salvador Perez","KCR","86","356","17","36","58","0","3.9%","26.7%",".206",".267",".230",".270",".436",".303",".301","94","-2.8","-5.0","-8.3","-0.2","7304"
"Jarren Duran","BOS","57","219","3","23","17","7","6.4%","28.8%",".145",".304",".220",".283",".365",".285",".282","79","0.7","-4.3","-4.8","-0.2","24617"
"Austin Meadows","DET","36","147","0","9","11","0","10.9%","11.6%",".078",".288",".250",".347",".328",".308",".376","102","-1.2","-0.9","-6.1","-0.3","15672"
"Ryan O'Hearn","KCR","52","109","1","9","11","0","6.4%","26.6%",".081",".286",".212",".275",".293",".256",".301","61","0.3","-4.5","-1.4","-0.3","16442"
"Didi Gregorius","PHI","63","232","1","17","19","1","5.6%","15.5%",".093",".246",".210",".263",".304",".252",".275","58","2.1","-9.5","-0.9","-0.3","6012"
"Yuli Gurriel","HOU","116","464","7","46","37","8","5.4%","12.9%",".128",".268",".244",".293",".372",".292",".267","90","0.3","-4.6","-12.5","-0.3","19198"
"Garrett Hampson","COL","70","188","2","27","13","7","9.0%","25.5%",".102",".291",".217",".292",".319",".274",".263","60","1.2","-7.6","-1.4","-0.3","19262"
"Matt Vierling","PHI","87","259","5","30","20","6","7.7%","22.0%",".103",".269",".223",".286",".326",".272",".321","71","-0.3","-9.0","-2.5","-0.3","21558"
"Jarred Kelenic","SEA","40","123","4","12","12","5","7.3%","38.2%",".142",".159",".124",".187",".265",".202",".225","30","-0.2","-9.7","3.2","-0.3","22558"
"Hanser Alberto","LAD","60","128","2","12","14","0","1.6%","16.4%",".127",".282",".246",".258",".373",".273",".238","75","-1.1","-4.8","-2.3","-0.3","11902"
"Nick Pratto","KCR","35","123","4","10","12","0","10.6%","36.6%",".198",".254",".179",".270",".377",".284",".278","81","-1.1","-3.8","-2.9","-0.3","22117"
"Anthony Bemboom","BAL","22","59","1","4","1","0","10.2%","28.8%",".096",".147",".115",".207",".212",".196",".246","23","0.0","-5.1","0.5","-0.3","13854"
"Tucker Barnhart","DET","77","244","0","12","13","0","7.0%","26.2%",".031",".302",".217",".275",".248",".240",".223","53","-1.2","-14.0","3.5","-0.3","10200"
"Sandy Leon","- - -","23","61","0","3","4","0","18.0%","26.2%",".063",".219",".146",".305",".208",".253",".297","62","-1.7","-4.2","-0.6","-0.3","5273"
"Stephen Vogt","OAK","47","140","6","13","16","1","10.0%","22.1%",".157",".161",".165",".257",".322",".259",".294","72","0.0","-4.4","-3.0","-0.3","5000"
"Luis Garcia","WSN","62","245","4","18","26","2","1.6%","20.4%",".123",".346",".288",".299",".411",".306",".314","94","-2.6","-4.3","-7.1","-0.3","20391"
"Austin Romine","- - -","25","69","1","6","5","0","2.9%","33.3%",".091",".262",".182",".206",".273",".211",".176","29","-0.1","-5.9","0.5","-0.3","5491"
"Peyton Burdick","MIA","21","76","2","5","4","1","9.2%","35.5%",".147",".231",".162",".250",".309",".252",".284","62","-0.1","-3.5","-2.2","-0.3","25459"
"Avisail Garcia","MIA","88","342","7","29","30","4","3.8%","27.8%",".090",".305",".232",".269",".322",".262",".280","68","-1.3","-14.1","-0.7","-0.3","5760"
"Josh VanMeter","PIT","65","185","3","15","12","4","10.3%","22.7%",".104",".223",".183",".265",".287",".249",".295","57","1.1","-8.3","-1.2","-0.3","15170"
"Dee Strange-Gordon","WSN","23","59","0","6","2","3","0.0%","13.6%",".051",".353",".305",".305",".356",".289",".213","82","-0.2","-1.4","-3.9","-0.3","8203"
"Richie Palacios","CLE","43","102","0","6","10","1","6.9%","17.6%",".054",".289",".237",".294",".290",".264",".274","69","0.5","-3.0","-3.4","-0.3","24589"
"Andrelton Simmons","CHC","35","85","0","8","7","4","8.2%","15.3%",".013",".210",".173",".244",".187",".204",".200","26","0.1","-7.2","1.0","-0.3","10847"
"Abraham Toro","SEA","84","285","8","30","26","1","7.0%","16.5%",".142",".187",".180",".239",".322",".246",".291","62","-1.1","-13.3","1.0","-0.4","19844"
"Kyle Lewis","SEA","18","62","3","6","5","0","8.1%","30.6%",".161",".147",".143",".226",".304",".239",".300","57","-0.9","-3.9","-1.5","-0.4","19508"
"Alcides Escobar","WSN","42","131","0","12","8","1","3.8%","24.4%",".065",".293",".218",".260",".282",".242",".233","51","0.9","-6.7","-1.4","-0.4","6310"
"Robbie Grossman","- - -","102","385","4","32","33","4","11.7%","27.8%",".088",".296",".211",".314",".299",".282",".287","82","-1.0","-8.9","-7.0","-0.4","5254"
"Raimel Tapia","TOR","99","329","5","32","38","5","3.0%","18.5%",".109",".310",".262",".284",".371",".286",".287","85","0.3","-5.1","-8.9","-0.4","14350"
"Taylor Walls","TBR","112","376","6","40","25","7","10.9%","25.5%",".112",".226",".176",".269",".288",".254",".270","68","0.2","-13.3","-2.2","-0.4","22458"
"Steven Duggar","- - -","29","80","0","7","4","5","8.8%","51.3%",".069",".344",".153",".225",".222",".205",".216","28","1.0","-5.6","-0.9","-0.4","17719"
"Guillermo Heredia","ATL","54","75","3","10","6","0","8.0%","41.3%",".188",".171",".130",".200",".319",".228",".220","40","0.2","-5.1","-1.4","-0.4","18721"
"Hoy Park","PIT","22","59","2","7","6","1","6.8%","25.4%",".160",".257",".220",".281",".380",".287",".271","82","0.9","-0.4","-5.6","-0.4","18027"
"Jason Heyward","CHC","48","151","1","15","10","1","7.3%","21.2%",".073",".260",".204",".278",".277",".254",".278","60","-0.1","-7.2","-2.1","-0.4","4940"
"CJ Abrams","- - -","57","181","2","16","14","2","2.2%","21.0%",".066",".258",".211",".257",".277",".240",".249","54","-0.1","-9.9","-0.5","-0.4","25768"
"Yasmani Grandal","CHW","74","290","3","9","21","1","12.4%","21.0%",".056",".255",".203",".307",".259",".264",".295","69","-5.2","-15.4","1.9","-0.5","11368"
"Kole Calhoun","TEX","100","361","11","35","43","2","6.1%","30.2%",".148",".271",".208",".266",".355",".274",".303","77","-1.1","-10.3","-5.4","-0.5","11200"
"Justin Upton","SEA","17","57","1","2","3","0","10.5%","40.4%",".083",".208",".125",".263",".208",".231",".249","51","-1.8","-4.9","-1.4","-0.5","5222"
"Jack Mayfield","LAA","23","74","1","8","6","1","4.1%","23.0%",".086",".231",".186",".230",".271",".224",".221","39","-0.5","-5.5","-1.4","-0.5","15402"
"Oscar Mercado","- - -","55","128","4","17","16","2","3.9%","22.7%",".165",".236",".207",".242",".372",".266",".258","71","0.0","-4.2","-4.5","-0.5","16375"
"Lewin Diaz","MIA","28","92","1","7","4","1","8.7%","26.1%",".073",".207",".159",".239",".232",".218",".260","39","-0.3","-6.9","-1.0","-0.5","18365"
"Nick Castellanos","PHI","126","525","13","53","61","7","5.1%","23.2%",".134",".331",".268",".309",".402",".311",".305","97","-2.7","-4.3","-18.4","-0.5","11737"
"Tyler Nevin","BAL","56","179","2","17","16","0","10.6%","25.7%",".065",".259",".196",".296",".261",".259",".291","67","-1.2","-7.7","-2.7","-0.5","17893"
"Ernie Clement","CLE","59","158","0","16","6","0","7.0%","15.2%",".021",".242",".203",".268",".224",".228",".281","44","-0.5","-10.4","0.6","-0.5","20352"
"Stephen Piscotty","OAK","42","139","5","12","14","2","6.5%","34.5%",".151",".253",".190",".252",".341",".258",".275","71","-0.6","-5.0","-4.2","-0.5","13367"
"Mike Moustakas","CIN","78","285","7","30","25","2","8.4%","26.3%",".131",".272",".214",".295",".345",".286",".270","75","-0.7","-9.1","-5.5","-0.5","4892"
"Akil Baddoo","DET","46","137","1","14","5","4","8.8%","29.9%",".032",".277",".192",".263",".224",".227",".212","44","0.8","-7.8","-1.4","-0.5","22168"
"Willians Astudillo","MIA","21","55","1","5","4","1","1.8%","5.5%",".056",".240",".241",".255",".296",".243",".265","56","-0.4","-3.2","-3.7","-0.5","15608"
"Cooper Hummel","ARI","54","162","2","15","13","4","12.3%","31.5%",".121",".250",".170",".278",".291",".260",".286","63","0.3","-6.9","-3.7","-0.5","19458"
"Bligh Madris","PIT","38","119","1","10","6","2","8.4%","26.1%",".083",".234",".174",".244",".257",".228",".254","42","0.5","-7.6","-1.5","-0.5","20054"
"Jackie Bradley Jr.","- - -","106","315","3","25","33","2","6.0%","20.0%",".109",".254",".207",".256",".316",".253",".270","57","-0.6","-15.7","0.8","-0.5","12984"
"Vidal Brujan","TBR","46","152","2","11","15","4","7.9%","23.7%",".080",".206",".167",".230",".246",".216",".235","41","-1.0","-11.0","1.2","-0.5","20536"
"Travis Demeritte","ATL","26","96","3","9","6","0","6.3%","33.3%",".124",".291",".213",".260",".337",".263",".264","63","-1.4","-5.5","-2.9","-0.5","15958"
"Juan Lagares","LAA","20","62","0","4","0","0","3.2%","24.2%",".067",".244",".183",".210",".250",".203",".242","24","0.0","-5.3","-1.9","-0.6","5384"
"Michael Perez","- - -","45","132","6","10","14","1","7.6%","24.2%",".149",".145",".149",".214",".298",".229",".276","43","-0.6","-9.4","-0.4","-0.6","12977"
"Tyler Wade","LAA","67","163","1","22","8","8","6.1%","20.2%",".054",".274",".218",".272",".272",".247",".248","55","-0.1","-8.3","-2.2","-0.6","15730"
"Alex Kirilloff","MIN","45","156","3","14","21","0","3.2%","23.1%",".111",".308",".250",".290",".361",".286",".282","87","-2.0","-4.2","-6.0","-0.6","20325"
"David MacKinnon","- - -","22","57","0","2","6","0","10.5%","29.8%",".000",".206",".140",".228",".140",".181",".260","11","-0.1","-5.7","-1.4","-0.6","19625"
"Ehire Adrianza","- - -","35","101","0","7","7","1","8.9%","23.8%",".033",".239",".178",".257",".211",".220",".270","36","0.5","-7.1","-1.7","-0.6","8418"
"Sam Hilliard","COL","69","196","2","26","14","4","11.2%","28.6%",".082",".252",".181",".276",".263",".248",".303","43","1.7","-11.5","-0.6","-0.6","17954"
"Tommy La Stella","SFG","55","177","2","16","14","0","5.1%","16.4%",".122",".287",".250",".288",".372",".287",".276","85","-0.8","-4.0","-7.6","-0.6","12371"
"Kevin Plawecki","BOS","56","158","1","11","11","0","7.6%","17.7%",".063",".246",".204",".274",".268",".247",".264","53","-1.8","-10.2","-0.3","-0.6","13807"
"Charlie Culberson","TEX","65","115","1","18","11","2","4.3%","25.2%",".085",".355",".264",".297",".349",".285",".257","85","-1.3","-3.2","-6.0","-0.6","3298"
"Jared Walsh","LAA","118","454","15","41","44","2","5.9%","30.4%",".158",".281",".215",".269",".374",".278",".280","78","-0.8","-12.1","-7.7","-0.6","18607"
"Jason Castro","HOU","34","88","1","6","3","1","9.1%","45.5%",".064",".211",".115",".205",".179",".183",".239","13","0.3","-8.2","-0.2","-0.6","8722"
"Jose Rojas","LAA","22","57","0","1","1","0","0.0%","33.3%",".036",".189",".125",".140",".161",".135",".182","-24","-0.2","-8.2","0.5","-0.6","19331"
"Jacob Stallings","MIA","95","310","3","23","29","0","7.1%","21.9%",".071",".283",".223",".288",".294",".264",".264","70","-4.4","-15.5","-1.0","-0.6","13723"
"Billy McKinney","OAK","23","57","1","3","4","0","7.0%","28.1%",".077",".111",".096",".158",".173",".144",".203","-10","-2.1","-9.1","1.4","-0.6","15654"
"Hunter Dozier","KCR","104","415","10","39","36","2","7.5%","23.6%",".153",".297",".239",".301",".392",".305",".304","95","-7.6","-9.7","-9.3","-0.6","15117"
"Chris Owings","BAL","27","68","0","6","0","1","14.7%","35.3%",".036",".188",".107",".254",".143",".204",".238","28","-0.8","-6.2","-2.0","-0.6","10030"
"Lorenzo Cain","MIL","43","156","1","17","9","2","5.1%","23.1%",".055",".229",".179",".231",".234",".212",".230","31","-0.4","-13.1","1.6","-0.6","9077"
"Luis Torrens","SEA","46","141","1","9","10","0","5.7%","31.9%",".038",".314",".214",".262",".252",".234",".264","53","-1.6","-9.0","-1.7","-0.7","15905"
"Donovan Walton","- - -","25","78","1","9","8","0","1.3%","20.5%",".145",".186",".158",".179",".303",".208",".228","31","-0.5","-6.8","-2.2","-0.7","19314"
"Nelson Cruz","WSN","113","462","10","46","61","4","9.7%","24.2%",".112",".297",".234",".313",".346",".295",".320","87","-2.9","-10.2","-12.1","-0.7","2434"
"Frank Schwindel","CHC","75","292","8","23","36","0","6.5%","19.9%",".129",".261",".229",".277",".358",".278",".279","77","-2.4","-10.5","-6.2","-0.7","15351"
"Riley Adams","WSN","28","91","3","8","5","0","9.9%","30.8%",".123",".240",".185",".275",".309",".265",".297","67","-1.1","-4.7","-5.3","-0.7","19864"
"Phil Gosselin","- - -","34","77","0","6","2","0","2.6%","31.2%",".027",".220",".149",".182",".176",".163",".207","-5","-1.6","-10.7","1.3","-0.7","10953"
"Jose Barrero","CIN","22","80","2","5","7","1","2.5%","48.8%",".090",".297",".167",".188",".256",".195",".147","14","0.3","-7.9","-1.8","-0.7","23378"
"Kurt Suzuki","LAA","47","148","3","9","13","0","10.1%","19.6%",".100",".200",".177",".264",".277",".247",".259","55","-1.0","-8.5","-3.4","-0.8","8259"
"Elias Diaz","COL","80","294","7","19","39","0","7.5%","19.7%",".153",".268",".231",".293",".384",".297",".285","75","-4.0","-12.6","-4.8","-0.8","11680"
"Michael Papierski","- - -","39","103","1","7","4","0","9.7%","25.2%",".044",".188",".143",".228",".187",".198",".217","16","-0.9","-11.0","0.0","-0.8","21386"
"Cole Tucker","PIT","18","63","0","3","2","1","0.0%","39.7%",".048",".289",".175",".175",".222",".172",".198","4","0.5","-6.6","-3.1","-0.8","17326"
"Calvin Mitchell","PIT","44","146","4","12","13","1","4.8%","24.7%",".131",".245",".204",".241",".336",".253",".265","59","0.6","-6.5","-6.3","-0.8","22169"
"Maikel Franco","WSN","103","388","9","31","39","1","3.1%","19.3%",".113",".262",".229",".255",".342",".261",".272","64","-3.7","-20.3","-1.0","-0.8","12179"
"Franmil Reyes","- - -","88","354","11","29","36","2","4.5%","35.0%",".150",".317",".225",".260",".374",".275",".274","76","-1.0","-10.3","-9.3","-0.9","14566"
"Joey Votto","CIN","91","376","11","31","41","0","11.7%","25.8%",".165",".257",".205",".319",".370",".310",".322","91","-4.1","-8.0","-13.1","-0.9","4314"
"Miguel Sano","MIN","20","71","1","1","3","1","12.7%","35.2%",".050",".114",".083",".211",".133",".177",".303","10","-0.8","-7.9","-2.8","-0.9","12164"
"Cristian Pache","OAK","68","214","2","15","13","1","5.1%","26.2%",".065",".210",".159",".203",".224",".193",".256","25","-0.5","-18.5","3.1","-0.9","19948"
"Spencer Torkelson","DET","83","298","5","25","21","0","9.7%","25.5%",".098",".254",".197",".282",".295",".263",".291","70","-2.9","-13.0","-5.2","-0.9","27465"
"Leury Garcia","CHW","84","292","3","35","19","1","2.4%","20.2%",".061",".252",".209",".234",".271",".224",".260","41","1.6","-17.9","-0.3","-0.9","5913"
"Seth Beer","ARI","38","126","1","4","9","0","8.7%","24.6%",".054",".250",".189",".278",".243",".240",".276","49","-2.0","-9.6","-3.8","-1.0","20493"
"Jed Lowrie","OAK","50","184","3","14","16","1","8.2%","21.2%",".084",".213",".180",".245",".263",".230",".247","51","-0.7","-10.6","-4.5","-1.0","4418"
"Brad Miller","TEX","79","236","7","20","32","4","7.6%","28.4%",".111",".271",".212",".271",".323",".265",".272","71","-1.3","-9.0","-9.0","-1.1","12775"
"Miguel Cabrera","DET","99","383","4","23","37","1","6.5%","24.0%",".060",".332",".257",".308",".317",".277",".280","80","-3.6","-12.3","-10.4","-1.1","1744"
"Marcell Ozuna","ATL","108","450","20","50","46","2","6.0%","24.2%",".177",".236",".213",".262",".391",".284",".332","78","-2.3","-14.2","-12.0","-1.1","10324"
"Bryan De La Cruz","MIA","90","261","7","22","21","3","5.4%","26.8%",".127",".254",".205",".249",".332",".256",".316","64","-2.1","-13.2","-6.6","-1.1","19600"
"Robinson Chirinos","BAL","56","185","3","8","19","1","8.6%","30.8%",".104",".250",".178",".266",".282",".251",".245","61","-0.6","-8.6","-8.7","-1.2","3142"
"Eddie Rosario","ATL","56","191","4","18","18","3","7.3%","26.7%",".120",".230",".183",".241",".303",".241",".241","49","0.5","-11.1","-7.2","-1.2","12155"
"Yoshi Tsutsugo","PIT","50","193","2","11","19","0","9.8%","25.9%",".059",".221",".171",".249",".229",".221",".255","37","-0.6","-14.8","-4.3","-1.3","27459"
"Jonathan Villar","- - -","59","220","3","25","18","7","6.8%","26.8%",".094",".275",".208",".260",".302",".250",".247","57","2.1","-8.8","-11.4","-1.3","10071"
"Robinson Cano","- - -","33","104","1","5","4","0","3.8%","24.0%",".040",".189",".150",".183",".190",".169",".238","6","-1.8","-13.3","-3.6","-1.4","3269"
